start,end,pm10,pm10_unit,latitude,longitude
2022-01-01 23:00:00,2022-01-02 00:00:00,46.390000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 00:00:00,2022-01-02 01:00:00,46.480000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 01:00:00,2022-01-02 02:00:00,33.500000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 02:00:00,2022-01-02 03:00:00,19.340000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 03:00:00,2022-01-02 04:00:00,14.990000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 04:00:00,2022-01-02 05:00:00,16.070000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 05:00:00,2022-01-02 06:00:00,18.310000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 06:00:00,2022-01-02 07:00:00,20.720000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 07:00:00,2022-01-02 08:00:00,22.320000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 08:00:00,2022-01-02 09:00:00,17.460000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 09:00:00,2022-01-02 10:00:00,12.010000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 10:00:00,2022-01-02 11:00:00,15.960000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 11:00:00,2022-01-02 12:00:00,17.170000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 12:00:00,2022-01-02 13:00:00,18.770000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 13:00:00,2022-01-02 14:00:00,19.990000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 14:00:00,2022-01-02 15:00:00,19.280000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 15:00:00,2022-01-02 16:00:00,21.310000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 16:00:00,2022-01-02 17:00:00,21.810000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 17:00:00,2022-01-02 18:00:00,19.840000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 18:00:00,2022-01-02 19:00:00,18.230000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 19:00:00,2022-01-02 20:00:00,18.200000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 20:00:00,2022-01-02 21:00:00,22.010000000000000000,ug.m-3,44.4264,26.1406
2022-01-02 21:00:00,2022-01-02 22:00:00,22.110000000000000000,ug.m-3,44.4264,26.1406
