start,end,no2,no2_unit,latitude,longitude
2016-06-29 02:00:00,2016-06-29 03:00:00,20.220000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 03:00:00,2016-06-29 04:00:00,18.930000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 07:00:00,2016-06-29 08:00:00,28.630000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 08:00:00,2016-06-29 09:00:00,28.400000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 09:00:00,2016-06-29 10:00:00,30.640000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 10:00:00,2016-06-29 11:00:00,28.100000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 11:00:00,2016-06-29 12:00:00,27.260000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 12:00:00,2016-06-29 13:00:00,22.260000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 13:00:00,2016-06-29 14:00:00,41.330000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 14:00:00,2016-06-29 15:00:00,47.200000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 15:00:00,2016-06-29 16:00:00,34.830000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 16:00:00,2016-06-29 17:00:00,39.590000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 17:00:00,2016-06-29 18:00:00,46.420000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 18:00:00,2016-06-29 19:00:00,44.470000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 19:00:00,2016-06-29 20:00:00,43.930000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 20:00:00,2016-06-29 21:00:00,33.750000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 21:00:00,2016-06-29 22:00:00,41.550000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 22:00:00,2016-06-29 23:00:00,38.710000000000000000,ug.m-3,44.444925,26.127289
2016-06-29 23:00:00,2016-06-30 00:00:00,40.260000000000000000,ug.m-3,44.444925,26.127289
2016-06-30 00:00:00,2016-06-30 01:00:00,38.190000000000000000,ug.m-3,44.444925,26.127289
