start,end,no2,no2_unit,latitude,longitude
2016-06-22 23:00:00,2016-06-23 00:00:00,30.310000000000000000,ug.m-3,44.4264,26.1406
2016-06-23 23:00:00,2016-06-24 00:00:00,17.810000000000000000,ug.m-3,44.4264,26.1406
2016-06-24 23:00:00,2016-06-25 00:00:00,11.320000000000000000,ug.m-3,44.4264,26.1406
2016-06-25 23:00:00,2016-06-26 00:00:00,18.420000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 00:00:00,2016-06-26 01:00:00,18.310000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 01:00:00,2016-06-26 02:00:00,16.360000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 02:00:00,2016-06-26 03:00:00,15.700000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 03:00:00,2016-06-26 04:00:00,11.940000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 04:00:00,2016-06-26 05:00:00,11.410000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 05:00:00,2016-06-26 06:00:00,10.760000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 06:00:00,2016-06-26 07:00:00,10.210000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 07:00:00,2016-06-26 08:00:00,11.260000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 08:00:00,2016-06-26 09:00:00,10.540000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 09:00:00,2016-06-26 10:00:00,8.960000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 10:00:00,2016-06-26 11:00:00,8.380000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 11:00:00,2016-06-26 12:00:00,7.500000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 12:00:00,2016-06-26 13:00:00,7.320000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 13:00:00,2016-06-26 14:00:00,7.260000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 14:00:00,2016-06-26 15:00:00,6.590000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 15:00:00,2016-06-26 16:00:00,6.730000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 16:00:00,2016-06-26 17:00:00,6.210000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 17:00:00,2016-06-26 18:00:00,6.050000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 18:00:00,2016-06-26 19:00:00,6.020000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 19:00:00,2016-06-26 20:00:00,7.610000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 20:00:00,2016-06-26 21:00:00,10.320000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 21:00:00,2016-06-26 22:00:00,14.800000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 22:00:00,2016-06-26 23:00:00,16.140000000000000000,ug.m-3,44.4264,26.1406
2016-06-26 23:00:00,2016-06-27 00:00:00,17.300000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 00:00:00,2016-06-27 01:00:00,17.400000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 01:00:00,2016-06-27 02:00:00,15.130000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 02:00:00,2016-06-27 03:00:00,16.420000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 03:00:00,2016-06-27 04:00:00,15.740000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 04:00:00,2016-06-27 05:00:00,11.390000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 05:00:00,2016-06-27 06:00:00,11.520000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 06:00:00,2016-06-27 07:00:00,13.900000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 07:00:00,2016-06-27 08:00:00,20.550000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 08:00:00,2016-06-27 09:00:00,29.350000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 09:00:00,2016-06-27 10:00:00,25.350000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 10:00:00,2016-06-27 11:00:00,14.820000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 11:00:00,2016-06-27 12:00:00,8.810000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 12:00:00,2016-06-27 13:00:00,7.360000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 13:00:00,2016-06-27 14:00:00,6.840000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 14:00:00,2016-06-27 15:00:00,7.000000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 15:00:00,2016-06-27 16:00:00,7.030000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 16:00:00,2016-06-27 17:00:00,6.090000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 17:00:00,2016-06-27 18:00:00,6.630000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 18:00:00,2016-06-27 19:00:00,6.960000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 19:00:00,2016-06-27 20:00:00,11.690000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 20:00:00,2016-06-27 21:00:00,15.760000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 21:00:00,2016-06-27 22:00:00,16.790000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 22:00:00,2016-06-27 23:00:00,12.990000000000000000,ug.m-3,44.4264,26.1406
2016-06-27 23:00:00,2016-06-28 00:00:00,11.060000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 00:00:00,2016-06-28 01:00:00,12.130000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 01:00:00,2016-06-28 02:00:00,14.230000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 02:00:00,2016-06-28 03:00:00,13.300000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 03:00:00,2016-06-28 04:00:00,10.580000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 04:00:00,2016-06-28 05:00:00,8.430000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 05:00:00,2016-06-28 06:00:00,10.000000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 06:00:00,2016-06-28 07:00:00,11.130000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 07:00:00,2016-06-28 08:00:00,12.150000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 09:00:00,2016-06-28 10:00:00,12.110000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 10:00:00,2016-06-28 11:00:00,12.160000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 11:00:00,2016-06-28 12:00:00,9.140000000000000000,ug.m-3,44.4264,26.1406
2016-06-28 12:00:00,2016-06-28 13:00:00,7.450000000000000000,ug.m-3,44.4264,26.1406
